Title,Rating,Votes,Duration,Genre
97. Cille 2069,7.1, (94),,Animation
98. Sanatorium Under the Sign of the Hourglass,5.4, (123),1h 15m,Animation
"99. Die Heinzels: Neue Mützen, Neue Mission",6.4, (94),1h 16m,Animation
100. Into the Mortal World,6.8, (157),1h 58m,Animation
101. Movie Given Hiiragi Mix.,7.6, (189),1h 10m,Animation
102. Ghost Cat Anzu,6.5, (789),1h 37m,Animation
103. Gracie and Pedro: Pets to the Rescue,5.1, (278),1h 27m,Animation
104. Angelo dans la forêt mystérieuse,6.0, (128),1h 21m,Animation
105. Where the Robots Grow,2.7, (519),,Animation
106. Out of the Nest,6.4, (114),1h 24m,Animation
107. Sabbath Queen,8.0, (66),1h 45m,Animation
108. Si Juki the Movie: Harta Pulau Monyet,6.0, (124),1h 47m,Animation
109. Living Large,7.0, (133),1h 20m,Animation
"110. Maya, donne-moi un titre",6.4, (55),1h 1m,Animation
111. The Casagrandes Movie,5.6, (674),1h 29m,Animation
112. STEVE (A Minecraft Movie),6.9, (12),1h 1m,Animation
113. I Am What I Am 2,7.5, (208),2h 14m,Animation
114. Storm Crashers,6.2, (568),1h 28m,Animation
115. The Lost Tiger,7.9, (46),1h 30m,Animation
116. Ivan Tsarevich i Seryy Volk 6,5.6, (90),,Animation
117. (S)KiDS,8.7, (107),1h 25m,Animation
118. Luntik. Vozvrashchenie domoy,6.4, (78),TV-Y,Animation
119. Shrek 5: The Contract - A Fan Made Film,7.0, (19),1h 24m,Animation
120. Elli and the Ghostly Ghost Train,5.1, (104),1h 26m,Animation
121. Niko: Beyond the Northern Lights,6.2, (339),1h 26m,Animation
122. Trapezium,6.3, (158),1h 42m,Animation
123. Heartsping : Teenieping of Love,7.0, (25),TV-Y,Animation
124. Fureru,6.2, (36),1h 47m,Animation
125. Zak & Wowo: The Legend of Lendarys,5.7, (102),1h 25m,Animation
126. SuperKlaus,4.3, (204),1h 28m,Animation
127. Isla Monstro,8.6, (8),,Animation
128. Peppa's Cinema Party,4.9, (155),1h 5m,Animation
129. Mochi-chon,8.2, (10),,Animation
130. Bocchi the Rock! Re: Re:,7.9, (109),1h 17m,Animation
131. Mariposas Negras,7.1, (61),1h 23m,Animation
132. My Redneck Neighbor: Chapter 2 - Let the Games Begin,,,55m,Animation
133. Dragon Ball Z Kai,8.5, (73),1h 22m,Animation
134. Dead Dead Demon's Dededede Destruction,7.0, (144),2h,Animation
